fração_id,condominio,bloco,andar,porta,tipo_fracao,area_m2,quota_mensal,proprietario_nome,proprietario_nif,data_aquisicao,valor_aquisicao,situacao
FR0442,Quinta das Palmeiras,B,2,2E,T1,46.3,44.78,Inês Neves Sousa,109434946,2020-11-15,109110.65,Arrendada
FR2155,Condomínio Central,C,3,3D,T2,87.4,128.25,Francisco Fonseca Fernandes,152075078,2023-05-04,186040.42,Ocupada
FR1372,Residencial Atlântico,c,1,1B,T2,86.6,108.6,Hugo Vieira Almeida,159605546,2011-06-16,122811.3,Ocupada
FR1460,Quinta das Palmeiras,B,2,2F,T1,55.2,57.34,Mariana Alves Reis,116349553,2005-10-02,65314.23,Em obras
FR1958,Torres do Sol,Torre 1,0,0A,T1,50.9,99.27,João Cruz Ramos,214373181,2022-11-17,49731.13,Arrendada
FR1674,Jardins da Cidade,Norte,3,3A,T1,60.1,71.75,DIOGO CARDOSO TEIXEIRA,165258829,2007-08-12,57937.6,Ocupada
FR0497,Residencial Atlântico,B,4,4B,T2,92.7,108.18,Alexandra Jesus Pinto,103609043,2011.03.17,,Ocupada
FR0005,Condomínio Central,C,5,5D,T3,124.2,178.97,António Ramos Sousa,125914876,2012-06-29,154259.41,Ocupada
FR1809,Jardins da Cidade,norte,4,4B,T0,36.2,41.97,Marta Fonseca Oliveira,161525906,2007-08-08,33948.25,Ocupada
FR0433,Residencial Atlântico,C,6,6D,T1,65.5,80.41,Gonçalo Ferreira Monteiro,148777612,2019-03-11,156389.15,Vazia
FR1056,Jardins da Cidade,norte,0,0B,T3,131.6,142.46,Alexandra Fonseca Silva,167890729,2015-06-18,183639.91,Ocupada
FR0638,Condomínio Central,C,5,5B,T2,95.0,138.58,Daniela Pires Sousa,208264283,2020-10-29,140725.59,Ocupada
FR1112,Jardins da Cidade,Norte,2,2A,T3,101.7,112.24,Beatriz Cruz Oliveira,199234178,2022-07-19,175066.59,Vazia
FR0258,Jardins da Cidade,norte,-1,G58,Garagem,98.1,105.34,João Matos Oliveira,110585703,2011-02-03,171020.82,Arrendada
FR0022,Jardins da Cidade,Sul,4,4F,T2,91.8,104.17,Sofia Teixeira Teixeira,113806039,2020-08-30,227480.99,Arrendada
FR1681,Jardins da Cidade,Sul,7,7E,T1,60.5,74.34,Paula Soares Pinto,237505093,2010-01-06,41977.83,Arrendada
FR1777,Condomínio Central,C,3,3D,T2,76.5,116.8,Pedro Coelho Cunha,191386597,2013-07-07,118950.66,Arrendada
FR2016,Residencial Atlântico,C,-1,G38,Garagem,90.4,105.46,Sofia Oliveira Pinto,245213374,2009-02-20,129549.39,Arrendada
FR1814,Jardins da Cidade,norte,6,6D,T2,87.2,94.86,Mariana Teixeira Santos,286268999,2019-09-21,,Arrendada
FR1663,Quinta das Palmeiras,A,6,6C,T1,46.2,48.24,Ricardo Cunha Moreira,105940517,2017-10-24,83858.19,Ocupada
FR1600,Residencial Atlântico,c,4,4B,T2,91.2,104.09,Pedro Raposo Ramos,179075711,2008-10-03,73396.62,Vazia
FR0157,quinta das palmeiras,b,2,2C,T3,110.8,110.46,Francisco Almeida Fernandes,175382828,2025-01-11,198485.52,arrendada
FR1505,Torres do Sol,Torre1,-1,G18,Garagem,90.1,170.01,Rosa Fonseca Oliveira,193624433,2022-10-04,124942.64,Ocupada
FR0575,Condomínio Central,A,9,9B,T1,69.4,106.07,Vítor Marques Monteiro,220885678,2008-11-16,,Ocupada
FR0313,Condomínio Central,D,3,3B,T2,91.9,134.3,André Pinto Moreira,270606305,2020-08-02,154248.69,Arrendada
FR1598,Quinta das Palmeiras,A,6,6A,T2,88.6,94.18,Fernando Antunes Oliveira,290718148,2009-02-21,100616.28,Arrendada
FR2313,Vila Verde,A,0,0B,T0,43.3,31.51,Tiago Neves Rocha,201975530,2008-12-07,22678.78,Em obras
FR0080,Residencial Atlântico,c,6,6C,T1,47.4,63.22,Rita Monteiro Nunes,180547122,2021-05-11,86730.96,Ocupada
